round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
108,19.820737,1353.1936,0.0,0.0617,97.81,0.0,12.827,0.0,31.09
109,19.853958,1197.1973,0.0,0.0607,98.68,0.0,12.925,0.0,31.11
110,19.519556,1170.555,0.0,0.0611,98.66,0.0,12.833,0.0,30.32
111,19.911381,1125.7943,0.0,0.0607,98.16,0.0,12.819,0.0,29.5
112,19.861646,1054.392,0.0,0.0599,98.27,0.0,13.533,0.0,34.17
113,20.108871,1128.1687,0.0,0.0599,97.88,0.0,12.822,0.0,28.47
114,19.875015,1156.2829,0.0,0.0594,95.42,0.0,12.827,0.0,30.01
115,19.741121,1153.5267,0.0,0.0593,97.68,0.0,12.828,0.0,24.43
116,19.09981,984.1731,0.0,0.0584,98.86,0.0,12.123,0.0,27.21
117,18.744475,1123.7019,0.0,0.0586,98.96,0.0,12.911,0.0,30.37
118,18.855101,1243.7449,0.0,0.0577,99.35,0.0,12.823,0.0,29.63
119,18.600452,1283.3542,0.0,0.0573,99.36,0.0,12.956,0.0,30.04
120,18.532452,1193.8326,0.0,0.057,98.96,0.0,12.825,0.0,28.53
121,18.473604,1204.0206,0.0,0.0562,99.26,0.0,12.825,0.0,29.13
122,18.065215,1176.0181,0.0,0.0563,99.48,0.0,12.835,0.0,29.15
123,17.947503,1201.0901,0.0,0.0561,99.44,0.0,12.838,0.0,28.0
124,18.167862,1142.5109,0.0,0.0557,98.99,0.0,12.834,0.0,28.31
125,17.172359,1161.2518,0.0,0.0552,98.94,0.0,12.839,0.0,26.73
126,17.413391,1215.8761,0.0,0.0543,98.2,0.0,12.836,0.0,26.06
127,16.943119,1127.3569,0.0,0.0543,99.07,0.0,12.889,0.0,29.28
128,17.250241,1088.9532,0.0,0.0542,97.16,0.0,12.838,0.0,24.12
129,16.415527,1096.8471,0.0,0.0539,97.32,0.0,12.957,0.0,25.45
130,17.378483,1272.6599,0.0,0.0533,99.26,0.0,12.887,0.0,28.55
131,16.96883,1227.9205,0.0,0.0529,99.46,0.0,12.841,0.0,29.9
132,16.543045,1189.2658,0.0,0.0527,98.8,0.0,12.833,0.0,28.52
133,16.198978,1239.1413,0.0,0.0519,98.34,0.0,12.841,0.0,29.8
134,17.297301,1273.539,0.0,0.0515,99.16,0.0,12.134,0.0,28.25
